name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;309;0;309;3095;1097;3095;1097;0
header;255;126;255;170;1889;170;1889;126
A;1063;187;1063;215;1086;215;1086;187
B;913;422;913;441;927;441;927;422
A;1078;676;1078;680;1081;680;1081;676
B;1057;853;1057;882;1081;882;1081;853
A;812;1377;812;1403;817;1403;817;1377
C;1060;1520;1060;1550;1081;1550;1081;1520
B;646;1611;646;1630;660;1630;660;1611
B;490;1837;490;1856;505;1856;505;1837
D;1057;2185;1057;2214;1084;2214;1084;2185
B;1013;2840;1013;2855;1034;2855;1034;2840
A;554;2882;554;2883;556;2883;556;2882
